run	V(vout_col1)
1.000000000000000e+00	-1.648238e+00
2.000000000000000e+00	-1.658671e+00
3.000000000000000e+00	-1.532661e+00
4.000000000000000e+00	-1.735706e+00
5.000000000000000e+00	-1.645568e+00
6.000000000000000e+00	-1.675008e+00
7.000000000000000e+00	-1.659017e+00
8.000000000000000e+00	-1.702766e+00
9.000000000000000e+00	-1.615694e+00
1.000000000000000e+01	-1.649544e+00
1.100000000000000e+01	-1.817352e+00
1.200000000000000e+01	-1.650226e+00
1.300000000000000e+01	-1.650892e+00
1.400000000000000e+01	-1.618442e+00
1.500000000000000e+01	-1.653045e+00
1.600000000000000e+01	-1.590313e+00
1.700000000000000e+01	-1.671057e+00
1.800000000000000e+01	-1.630644e+00
1.900000000000000e+01	-1.724624e+00
2.000000000000000e+01	-1.536375e+00
