run	V(vout_col1)
1.000000000000000e+00	-1.647116e+00
2.000000000000000e+00	-1.663101e+00
3.000000000000000e+00	-1.418519e+00
4.000000000000000e+00	-1.827357e+00
5.000000000000000e+00	-1.633659e+00
6.000000000000000e+00	-1.690527e+00
7.000000000000000e+00	-1.653858e+00
8.000000000000000e+00	-1.747753e+00
9.000000000000000e+00	-1.583625e+00
1.000000000000000e+01	-1.639891e+00
1.100000000000000e+01	-1.997282e+00
1.200000000000000e+01	-1.636823e+00
1.300000000000000e+01	-1.656435e+00
1.400000000000000e+01	-1.574397e+00
1.500000000000000e+01	-1.659628e+00
1.600000000000000e+01	-1.525091e+00
1.700000000000000e+01	-1.683195e+00
1.800000000000000e+01	-1.607530e+00
1.900000000000000e+01	-1.805667e+00
2.000000000000000e+01	-1.424497e+00
