--- Operating Point ---

V(col1): 0.100002 voltage
V(col1_neg): 0.100003 voltage
V(col2): 0.100002 voltage
V(col2_neg): 0.100003 voltage
V(col3): 0.100003 voltage
V(col3_neg): 0.100002 voltage
V(col4): 0.100003 voltage
V(col4_neg): 0.100002 voltage
V(n001): -1.56249 voltage
V(n002): -1.56249 voltage
V(n003): -1.38749 voltage
V(n004): -1.38749 voltage
V(n005): -1.01249 voltage
V(n006): -1.01249 voltage
V(n007): -0.837494 voltage
V(n008): -0.837493 voltage
V(row1): 0.2 voltage
V(row2): 0.4 voltage
V(row3): 0.6 voltage
V(row4): 0.8 voltage
V(vcc): 5 voltage
V(vdd): -5 voltage
V(vout_col1): -1.67499 voltage
V(vout_col1_neg): -3.12498 voltage
V(vout_col2): -2.02498 voltage
V(vout_col2_neg): -2.77498 voltage
V(vout_col3): -2.77498 voltage
V(vout_col3_neg): -2.02498 voltage
V(vout_col4): -3.12498 voltage
V(vout_col4_neg): -1.67499 voltage
V(vout_diff_col1): -1.44999 voltage
V(vout_diff_col2): -0.749993 voltage
V(vout_diff_col3): 0.749993 voltage
V(vout_diff_col4): 1.44999 voltage
V(vref): 0.1 voltage
I(R1): 9.99983e-05 device_current
I(R10): 0.000299998 device_current
I(R11): 7.49993e-05 device_current
I(R12): 9.99989e-05 device_current
I(R13): 0.000166666 device_current
I(R14): 0.000124999 device_current
I(R15): 0.000499997 device_current
I(R16): 0.000249998 device_current
I(R17): 0.000591663 device_current
I(R18): 0.000708329 device_current
I(R19): 0.000958327 device_current
I(R2): 4.9999e-05 device_current
I(R20): 0.00107499 device_current
I(R21): 2.49992e-05 device_current
I(R22): 3.33324e-05 device_current
I(R23): 4.9999e-05 device_current
I(R24): 9.99983e-05 device_current
I(R25): 0.000699997 device_current
I(R26): 0.000349999 device_current
I(R27): 0.000233333 device_current
I(R28): 0.000175 device_current
I(R29): 9.99989e-05 device_current
I(R3): 3.33324e-05 device_current
I(R30): 7.49993e-05 device_current
I(R31): 0.000299998 device_current
I(R32): 0.000149999 device_current
I(R33): 0.000249998 device_current
I(R34): 0.000499997 device_current
I(R35): 0.000124999 device_current
I(R36): 0.000166666 device_current
I(R4): 2.49992e-05 device_current
I(R5): 0.000175 device_current
I(R6): 0.000233333 device_current
I(R7): 0.000349999 device_current
I(R8): 0.000699997 device_current
I(R9): 0.000149999 device_current
I(Ra1): 0.000112502 device_current
I(Ra2): 0.000637497 device_current
I(Ra3): 0.00176249 device_current
I(Ra4): 0.00228748 device_current
I(Rb1): -0.00156249 device_current
I(Rb2): -0.00138749 device_current
I(Rb3): -0.00101249 device_current
I(Rb4): -0.000837494 device_current
I(Rc1): -0.00156249 device_current
I(Rc2): -0.00138749 device_current
I(Rc3): -0.00101249 device_current
I(Rc4): -0.000837493 device_current
I(Rd1): 0.000112499 device_current
I(Rd2): 0.000637494 device_current
I(Rd3): 0.00176248 device_current
I(Rd4): 0.00228748 device_current
I(Rf_neg1): 0.00107499 device_current
I(Rf_neg2): 0.000958327 device_current
I(Rf_neg3): 0.000708329 device_current
I(Rf_neg4): 0.000591663 device_current
I(V1): -0.000416658 device_current
I(V2): -0.00124999 device_current
I(V3): -0.00208332 device_current
I(V4): -0.00291666 device_current
I(V5): -0.00658537 device_current
I(V6): -0.0180518 device_current
I(V_ref): -1.6e-09 device_current
