--- Operating Point ---

V(col1): 0.100002 voltage
V(col1_neg): 0.106207 voltage
V(col2): 0.100002 voltage
V(col2_neg): 0.0965517 voltage
V(col3): 0.100003 voltage
V(col3_neg): 0.0758621 voltage
V(col4): 0.100003 voltage
V(col4_neg): 0.0662069 voltage
V(row1): 0.2 voltage
V(row2): 0.4 voltage
V(row3): 0.6 voltage
V(row4): 0.8 voltage
V(vcc): 5 voltage
V(vdd): -5 voltage
V(vout_col1): -1.67499 voltage
V(vout_col2): -2.02498 voltage
V(vout_col3): -2.77498 voltage
V(vout_col4): -3.12498 voltage
V(vref): 0.1 voltage
I(R1): 9.99983e-05 device_current
I(R10): 0.000299998 device_current
I(R11): 7.49993e-05 device_current
I(R12): 9.99989e-05 device_current
I(R13): 0.000166666 device_current
I(R14): 0.000124999 device_current
I(R15): 0.000499997 device_current
I(R16): 0.000249998 device_current
I(R17): 0.000591663 device_current
I(R18): 0.000708329 device_current
I(R19): 0.000958327 device_current
I(R2): 4.9999e-05 device_current
I(R20): 0.00107499 device_current
I(R21): 2.34483e-05 device_current
I(R22): 3.44828e-05 device_current
I(R23): 6.2069e-05 device_current
I(R24): 0.000133793 device_current
I(R25): 0.000693793 device_current
I(R26): 0.000351724 device_current
I(R27): 0.000241379 device_current
I(R28): 0.000183448 device_current
I(R29): 9.7931e-05 device_current
I(R3): 3.33324e-05 device_current
I(R30): 7.58621e-05 device_current
I(R31): 0.000324138 device_current
I(R32): 0.000166897 device_current
I(R33): 0.000246897 device_current
I(R34): 0.000503448 device_current
I(R35): 0.000131034 device_current
I(R36): 0.000177931 device_current
I(R37): 0.00106207 device_current
I(R38): 0.000965517 device_current
I(R39): 0.000758621 device_current
I(R4): 2.49992e-05 device_current
I(R40): 0.000662069 device_current
I(R5): 0.000175 device_current
I(R6): 0.000233333 device_current
I(R7): 0.000349999 device_current
I(R8): 0.000699997 device_current
I(R9): 0.000149999 device_current
I(V1): -0.000462122 device_current
I(V2): -0.00128982 device_current
I(V3): -0.00210097 device_current
I(V4): -0.00292867 device_current
I(V5): -0.000766532 device_current
I(V6): -0.00409975 device_current
I(V_ref): -8e-10 device_current
Ix(u1:1): 2e-10 subckt_current
Ix(u1:2): 2.00004e-10 subckt_current
Ix(u1:3): 0.000224088 subckt_current
Ix(u1:4): -0.000932397 subckt_current
Ix(u1:5): 0.000708329 subckt_current
Ix(u2:1): 2e-10 subckt_current
Ix(u2:2): 2.00003e-10 subckt_current
Ix(u2:3): 0.000260419 subckt_current
Ix(u2:4): -0.000852065 subckt_current
Ix(u2:5): 0.000591663 subckt_current
Ix(u3:1): 2e-10 subckt_current
Ix(u3:2): 2.00006e-10 subckt_current
Ix(u3:3): 0.000155295 subckt_current
Ix(u3:4): -0.00111359 subckt_current
Ix(u3:5): 0.000958327 subckt_current
Ix(u4:1): 2e-10 subckt_current
Ix(u4:2): 2.00006e-10 subckt_current
Ix(u4:3): 0.00012673 subckt_current
Ix(u4:4): -0.00120169 subckt_current
Ix(u4:5): 0.00107499 subckt_current
